City_ID,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Marabba,SD,12.35,32.1833,105.93,10,10,3.62,clear sky
1,Barrow,US,71.2906,-156.7887,-6.83,93,97,8.93,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,46.11,55,100,9.15,overcast clouds
3,Ambilobe,MG,-13.2,49.05,77.72,88,60,2.04,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,78.67,74,1,16.28,light rain
5,Rocha,UY,-34.4833,-54.3333,78.93,44,3,11.23,clear sky
6,Mount Isa,AU,-20.7333,139.5,85.77,28,50,6.91,scattered clouds
7,Tahara,JP,34.6667,137.2667,62.55,29,100,4.81,overcast clouds
8,Busselton,AU,-33.65,115.3333,57.13,72,97,5.1,light rain
9,Taksimo,RU,56.3444,114.8794,18.66,86,94,2.86,overcast clouds
10,Geraldton,AU,-28.7667,114.6,59.41,82,77,6.91,broken clouds
11,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,76,100,14.97,light rain
12,Port Alfred,ZA,-33.5906,26.891,66.18,90,100,5.99,overcast clouds
13,Bluff,NZ,-46.6,168.3333,48.72,88,31,8.19,scattered clouds
14,Avarua,CK,-21.2078,-159.775,77.05,100,75,2.3,broken clouds
15,Constitucion,CL,-35.3333,-72.4167,58.48,56,1,4.05,clear sky
16,Kapaa,US,22.0752,-159.319,73.47,95,40,18.41,scattered clouds
17,Miri,MY,4.4148,114.0089,78.4,85,95,4.56,overcast clouds
18,Kavieng,PG,-2.5744,150.7967,82.15,76,100,11.25,overcast clouds
19,Kahului,US,20.8947,-156.47,74.84,84,88,5.99,overcast clouds
20,Bambous Virieux,MU,-20.3428,57.7575,76.21,79,34,15.19,light rain
21,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,69,40,6.91,scattered clouds
22,Plastun,RU,44.7561,136.2939,37.83,92,100,1.59,overcast clouds
23,Lebu,CL,-37.6167,-73.65,53.67,83,60,13.2,broken clouds
24,Brigantine,US,39.4101,-74.3646,52.0,45,20,26.46,few clouds
25,Upernavik,GL,72.7868,-56.1549,4.3,73,57,6.67,broken clouds
26,Saskylakh,RU,71.9167,114.0833,-15.09,100,12,2.93,few clouds
27,Nyurba,RU,63.2842,118.3319,5.58,99,48,1.97,scattered clouds
28,Hasaki,JP,35.7333,140.8333,55.8,83,8,12.59,clear sky
29,Ukhta,RU,63.5671,53.6835,37.96,98,100,9.46,overcast clouds
30,Torbay,CA,47.6666,-52.7314,48.27,89,100,1.99,overcast clouds
31,Tefe,BR,-3.3542,-64.7114,85.93,63,100,3.62,overcast clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,79.56,93,91,4.0,overcast clouds
33,Kangaatsiaq,GL,68.3065,-53.4641,18.64,72,100,3.04,overcast clouds
34,Yerkoy,TR,39.6381,34.4672,64.56,43,25,8.03,scattered clouds
35,Kokomo,US,40.4864,-86.1336,51.15,61,0,6.91,clear sky
36,Mataura,NZ,-46.1927,168.8643,42.51,99,18,2.39,few clouds
37,Hobart,AU,-42.8794,147.3294,56.05,67,100,6.91,overcast clouds
38,Cherskiy,RU,68.75,161.3,-13.68,100,100,2.19,overcast clouds
39,Kaitangata,NZ,-46.2817,169.8464,45.45,95,12,3.51,few clouds
40,The Valley,AI,18.217,-63.0578,82.81,74,13,14.74,few clouds
41,Compiegne,FR,49.4179,2.8261,58.75,45,58,6.29,broken clouds
42,Cayenne,GF,4.9333,-52.3333,86.04,16,20,14.97,few clouds
43,Bredasdorp,ZA,-34.5322,20.0403,69.53,68,0,18.48,clear sky
44,Kodiak,US,57.79,-152.4072,31.77,50,0,7.16,clear sky
45,Synya,RU,65.3718,58.0387,41.32,95,98,9.31,overcast clouds
46,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,60,14.12,light rain
47,Klaksvik,FO,62.2266,-6.589,36.52,60,97,10.71,overcast clouds
48,Nanortalik,GL,60.1432,-45.2371,32.43,72,100,3.09,overcast clouds
49,Hermanus,ZA,-34.4187,19.2345,74.8,46,0,16.31,clear sky
50,Georgetown,MY,5.4112,100.3354,84.15,75,20,2.3,few clouds
51,Necochea,AR,-38.5473,-58.7368,69.96,70,100,6.46,overcast clouds
52,Albany,US,42.6001,-73.9662,42.03,66,86,3.0,overcast clouds
53,Jamestown,US,42.097,-79.2353,35.94,46,100,16.11,overcast clouds
54,Khatanga,RU,71.9667,102.5,4.53,98,99,3.65,overcast clouds
55,Provideniya,RU,64.3833,-173.3,23.2,98,98,8.7,overcast clouds
56,Tailai,CN,46.3833,123.4,52.18,35,100,13.13,overcast clouds
57,Nikolskoye,RU,59.7035,30.7861,46.87,74,92,10.83,overcast clouds
58,Lasa,IT,46.6166,10.7002,52.7,57,63,6.33,broken clouds
59,Ucluelet,CA,48.9329,-125.5528,34.11,91,100,2.89,overcast clouds
60,Hithadhoo,MV,-0.6,73.0833,84.22,72,23,10.16,few clouds
61,Dingle,PH,10.9995,122.6711,73.4,92,100,4.32,moderate rain
62,Ovsyanka,RU,55.9575,92.5519,31.23,89,100,5.5,overcast clouds
63,Cockburn Town,TC,21.4612,-71.1419,78.46,77,46,12.91,scattered clouds
64,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,70,40,28.77,scattered clouds
65,Thompson,CA,55.7435,-97.8558,33.96,93,100,6.91,mist
66,Chuy,UY,-33.6971,-53.4616,76.62,58,3,11.63,clear sky
67,Cape Town,ZA,-33.9258,18.4232,81.27,34,0,13.8,clear sky
68,Leopold,AU,-38.1833,144.4667,64.65,84,75,13.8,broken clouds
69,Sao Filipe,CV,14.8961,-24.4956,74.61,71,15,15.95,few clouds
70,Yellowknife,CA,62.456,-114.3525,9.41,91,36,14.5,scattered clouds
71,Hilo,US,19.7297,-155.09,70.25,98,100,1.01,overcast clouds
72,Falun,SE,60.6036,15.626,45.01,76,100,11.97,overcast clouds
73,Luderitz,NA,-26.6481,15.1594,75.42,50,0,15.32,clear sky
74,Quelimane,MZ,-17.8786,36.8883,77.31,87,6,4.16,light rain
75,Castro,BR,-24.7911,-50.0119,73.87,62,100,3.24,overcast clouds
76,Njombe,TZ,-9.3333,34.7667,61.63,92,86,4.72,light rain
77,Hamilton,US,39.1834,-84.5333,52.74,55,6,5.01,clear sky
78,Chokurdakh,RU,70.6333,147.9167,-19.19,100,100,2.8,overcast clouds
79,Bowen,AU,-20.0167,148.2333,75.72,90,100,11.16,overcast clouds
80,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,66,47,23.31,scattered clouds
81,San Policarpo,PH,12.1791,125.5072,79.65,87,100,20.09,overcast clouds
82,Gat,IL,31.61,34.7642,78.4,100,0,13.11,clear sky
83,Alice Springs,AU,-23.7,133.8833,69.22,32,93,0.0,overcast clouds
84,Dikson,RU,73.5069,80.5464,-2.79,100,62,2.73,broken clouds
85,Helena,US,46.5927,-112.0361,32.18,50,0,10.0,clear sky
86,Ilulissat,GL,69.2167,-51.1,23.02,50,75,1.14,broken clouds
87,Hjelset,NO,62.7833,7.4833,42.58,65,75,19.57,broken clouds
88,Norman Wells,CA,65.282,-126.8329,4.73,95,99,3.85,overcast clouds
89,Mirnyy,RU,62.5353,113.9611,13.26,97,100,1.83,overcast clouds
90,Atuona,PF,-9.8,-139.0333,78.89,76,14,17.67,few clouds
91,Ettaiyapuram,IN,9.1441,77.9907,83.17,66,100,9.51,heavy intensity rain
92,San Quintin,MX,30.4833,-115.95,61.03,75,77,5.14,broken clouds
93,Kholodnyy,RU,62.7167,147.95,-23.58,100,37,4.16,scattered clouds
94,Port Augusta,AU,-32.5,137.7667,66.33,86,5,8.37,clear sky
95,Ushuaia,AR,-54.8,-68.3,43.56,65,100,2.53,overcast clouds
96,Ternate,ID,0.8,127.4,81.66,79,100,8.63,overcast clouds
97,Magistralnyy,RU,56.1725,107.4458,24.62,94,100,4.38,overcast clouds
98,Kargasok,RU,59.0556,80.8572,11.35,93,43,4.79,scattered clouds
99,New Norfolk,AU,-42.7826,147.0587,55.71,48,68,3.0,broken clouds
100,Vikhorevka,RU,56.1201,101.1636,31.59,98,100,3.29,light snow
101,Sistranda,NO,63.7256,8.834,40.96,75,100,33.64,overcast clouds
102,Saldanha,ZA,-33.0117,17.9442,67.24,57,0,9.55,clear sky
103,Port Elizabeth,ZA,-33.918,25.5701,69.1,85,75,12.66,broken clouds
104,Selyatino,RU,55.5151,36.9775,44.56,61,0,2.24,clear sky
105,Codrington,AU,-38.2667,141.9667,58.73,75,100,12.93,overcast clouds
106,Grindavik,IS,63.8424,-22.4338,41.47,75,75,28.77,broken clouds
107,Ofunato,JP,39.0717,141.7167,54.46,68,4,4.81,clear sky
108,Tshikapa,CD,-6.4167,20.8,83.53,65,83,3.49,light rain
109,Benalla,AU,-36.55,145.9833,55.15,84,39,3.31,scattered clouds
110,Pisco,PE,-13.7,-76.2167,70.02,83,96,5.1,overcast clouds
111,Kimparana,ML,12.8347,-4.9244,105.89,12,4,5.14,clear sky
112,Karasjok,NO,69.4719,25.5112,34.02,94,77,18.79,light snow
113,Fairbanks,US,64.8378,-147.7164,13.24,62,100,0.0,overcast clouds
114,Eha Amufu,NG,6.6592,7.7596,101.75,21,80,8.01,broken clouds
115,Takoradi,GH,4.8845,-1.7554,85.89,67,82,10.0,broken clouds
116,Nchelenge,ZM,-9.3451,28.734,76.55,77,65,7.92,broken clouds
117,Turukhansk,RU,65.8167,87.9833,-1.98,100,88,2.19,overcast clouds
118,Marfino,RU,55.7028,37.3822,44.87,60,0,2.24,clear sky
119,Jaciara,BR,-15.9653,-54.9683,88.09,56,48,3.0,scattered clouds
120,Venice,US,27.0998,-82.4543,69.12,42,0,14.97,haze
121,Tehri,IN,30.3833,78.4833,76.71,20,0,5.41,clear sky
122,Roald,NO,62.5833,6.1333,44.74,65,40,18.41,scattered clouds
123,Leningradskiy,RU,69.3833,178.4167,-15.61,93,49,5.35,scattered clouds
124,Moundsville,US,39.9203,-80.7431,46.15,59,10,3.0,clear sky
125,Kankon,IN,15.0167,74.0167,84.0,80,84,9.17,broken clouds
126,Beloha,MG,-25.1667,45.05,74.88,80,100,16.64,overcast clouds
127,Longyearbyen,SJ,78.2186,15.6401,13.84,48,26,28.77,scattered clouds
128,Vaini,TO,-21.2,-175.2,79.02,84,72,18.07,light rain
129,Victoria,HK,22.2855,114.1577,75.38,77,0,8.99,clear sky
130,Grand Gaube,MU,-20.0064,57.6608,76.37,87,44,3.0,light rain
131,Rorvik,NO,64.8621,11.2373,39.47,97,100,36.31,overcast clouds
132,Wahpeton,US,46.2652,-96.6059,41.92,93,100,10.36,overcast clouds
133,Marystown,CA,47.1666,-55.1483,46.85,100,100,2.68,overcast clouds
134,Ha Tinh,VN,18.3333,105.9,70.68,92,9,0.83,clear sky
135,Tiksi,RU,71.6872,128.8694,-13.18,100,100,0.83,overcast clouds
136,Aberdeen,GB,57.1437,-2.0981,52.66,62,99,2.3,overcast clouds
137,Fortuna,US,40.5982,-124.1573,42.98,87,0,9.22,clear sky
138,Bathsheba,BB,13.2167,-59.5167,81.41,67,35,16.89,scattered clouds
139,Whitianga,NZ,-36.8333,175.7,57.72,88,8,3.51,clear sky
140,Campbellsville,US,37.3434,-85.3419,53.73,43,2,5.99,clear sky
141,Butaritari,KI,3.0707,172.7902,80.49,76,100,8.93,light rain
142,Garden City,US,42.3256,-83.331,44.78,58,10,1.99,clear sky
143,Pevek,RU,69.7008,170.3133,-18.85,100,92,3.13,overcast clouds
144,Najran,SA,17.4924,44.1277,86.11,13,0,14.97,clear sky
145,Macamic,CA,48.7502,-78.9996,30.49,71,100,8.79,overcast clouds
146,Namatanai,PG,-3.6667,152.4333,79.81,79,65,7.47,broken clouds
147,Sitka,US,57.0531,-135.33,33.64,84,6,3.74,clear sky
148,Carnarvon,AU,-24.8667,113.6333,72.72,61,0,21.21,clear sky
149,Shumikhinskiy,RU,58.7448,57.6905,43.77,94,100,9.48,overcast clouds
150,Airai,TL,-8.9266,125.4092,58.37,82,19,2.21,few clouds
151,Sembe,CG,1.6481,14.5806,86.7,55,100,2.73,overcast clouds
152,Lompoc,US,34.6391,-120.4579,61.93,93,0,3.44,mist
153,Guerrero Negro,MX,27.9769,-114.0611,62.78,82,26,2.73,scattered clouds
154,Korla,CN,41.7597,86.1469,63.03,48,96,5.7,overcast clouds
155,Chavakkad,IN,10.5333,76.05,82.65,79,93,6.82,overcast clouds
156,Bairiki,KI,1.3292,172.9752,80.29,79,91,10.38,overcast clouds
157,Letenye,HU,46.433,16.7258,52.18,35,92,5.28,overcast clouds
158,Buala,SB,-8.145,159.5921,79.29,82,14,3.27,light rain
159,Solnechnyy,RU,50.7214,136.6319,28.22,98,100,4.61,snow
160,Richards Bay,ZA,-28.783,32.0377,69.89,77,100,7.45,light rain
161,Hami,CN,42.8,93.45,57.29,21,99,12.15,overcast clouds
162,Manadhoo,MV,5.7667,73.3833,85.68,71,96,12.75,overcast clouds
163,Bethel,US,41.3712,-73.414,48.56,65,19,5.01,few clouds
164,Vao,NC,-22.6667,167.4833,77.22,84,80,20.4,broken clouds
165,Margate,GB,51.3813,1.3862,54.7,53,99,1.01,overcast clouds
166,Namibe,AO,-15.1961,12.1522,75.13,73,47,11.01,scattered clouds
167,Cidreira,BR,-30.1811,-50.2056,74.44,79,4,12.86,clear sky
168,College,US,64.8569,-147.8028,13.23,62,100,0.0,overcast clouds
169,Bogacs,HU,47.9,20.5333,50.05,54,99,3.24,overcast clouds
170,Tuktoyaktuk,CA,69.4541,-133.0374,0.16,91,100,12.48,overcast clouds
171,Peterhead,GB,57.5058,-1.7981,48.6,69,96,9.1,overcast clouds
172,Eyl,SO,7.9803,49.8164,81.9,75,4,14.03,clear sky
173,Sao Francisco,BR,-15.9486,-44.8644,98.08,28,65,1.68,broken clouds
174,Salvador,SV,13.8333,-88.9167,80.06,47,13,4.81,few clouds
175,Mogadishu,SO,2.0371,45.3438,85.87,74,40,12.66,scattered clouds
176,Westport,US,41.1415,-73.3579,50.56,57,14,8.99,few clouds
177,San Patricio,US,28.017,-97.5169,77.09,61,0,25.39,clear sky
178,Kilinochchi,LK,9.3961,80.3982,79.7,84,100,3.56,overcast clouds
179,Biryukove,UA,47.9563,39.7384,66.11,44,92,9.51,overcast clouds
180,Souillac,MU,-20.5167,57.5167,77.81,81,49,13.98,light rain
181,Sayyan,YE,15.1718,44.3244,70.25,18,2,14.85,clear sky
182,Tilichiki,RU,60.4667,166.1,4.8,96,42,8.84,scattered clouds
183,Mount Gambier,AU,-37.8333,140.7667,58.91,77,100,9.22,overcast clouds
184,Esperance,AU,-33.8667,121.9,60.31,84,8,15.12,clear sky
185,Tuy Hoa,VN,13.0833,109.3,73.81,94,46,4.34,scattered clouds
186,Mancio Lima,BR,-7.6142,-72.8958,75.13,93,100,2.77,light rain
187,Awjilah,LY,29.1081,21.2869,85.53,14,0,13.15,clear sky
188,Offa,NG,8.15,4.7167,99.79,24,30,6.49,scattered clouds
189,Ndungu,TZ,-4.3667,38.05,84.96,46,59,7.52,broken clouds
190,Kruisfontein,ZA,-34.0033,24.7314,66.88,79,80,15.88,broken clouds
191,Saint George,US,37.1041,-113.5841,56.79,14,3,3.0,clear sky
192,Natal,BR,-5.795,-35.2094,88.45,66,40,11.5,scattered clouds
193,Svetlogorsk,BY,52.6333,29.7333,48.15,52,100,3.96,overcast clouds
194,Misratah,LY,32.3754,15.0925,65.03,60,0,16.08,clear sky
195,Ostrovnoy,RU,68.0531,39.5131,33.69,98,100,18.72,snow
196,Kenda,IN,23.2,86.5333,83.62,49,0,9.04,clear sky
197,Tobol,KZ,52.6844,62.5794,49.15,59,100,16.17,overcast clouds
198,Katsuura,JP,35.1333,140.3,61.27,89,13,9.86,few clouds
199,Olafsvik,IS,64.8945,-23.7142,38.07,87,100,20.62,overcast clouds
200,Nauta,PE,-4.5061,-73.5757,77.0,92,100,2.21,overcast clouds
201,Aquiraz,BR,-3.9014,-38.3911,78.19,79,90,6.8,overcast clouds
202,Goderich,CA,43.7501,-81.7165,36.91,77,100,14.43,overcast clouds
203,Bandarbeyla,SO,9.4942,50.8122,82.02,73,2,9.78,clear sky
204,Almaznyy,RU,48.0448,40.045,65.64,48,89,11.23,overcast clouds
205,Gamba,GA,-2.65,10.0,81.93,74,100,7.54,overcast clouds
206,Sisimiut,GL,66.9395,-53.6735,25.23,61,100,1.39,overcast clouds
207,Port Hardy,CA,50.6996,-127.4199,37.2,79,53,4.05,broken clouds
208,Qaanaaq,GL,77.484,-69.3632,-1.1,82,59,5.75,broken clouds
209,Brae,GB,60.3964,-1.353,39.18,54,99,13.22,overcast clouds
210,Sur,OM,22.5667,59.5289,90.66,32,100,3.27,overcast clouds
211,Alofi,NU,-19.0595,-169.9187,75.09,94,2,0.0,clear sky
212,Chumikan,RU,54.7183,135.315,16.45,92,98,10.51,overcast clouds
213,Tual,ID,-5.6667,132.75,84.33,74,100,13.98,overcast clouds
214,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,22.68,74,100,8.7,overcast clouds
215,Pombas,CV,17.1503,-25.0201,73.18,74,20,15.39,few clouds
216,Uglegorsk,RU,49.0833,142.0333,31.6,86,100,9.55,snow
217,Roebourne,AU,-20.7833,117.1333,85.68,32,11,10.2,few clouds
218,Ribeira Grande,PT,38.5167,-28.7,55.8,76,40,27.63,scattered clouds
219,Salalah,OM,17.0151,54.0924,82.85,63,0,4.32,clear sky
220,Naze,JP,28.3667,129.4833,66.52,94,90,11.56,overcast clouds
221,Faya,SA,18.3851,42.4509,68.59,37,1,10.89,clear sky
222,Kaeo,NZ,-35.1,173.7833,55.33,93,33,5.19,scattered clouds
223,Casper,US,42.8666,-106.3131,27.72,72,100,11.99,overcast clouds
224,Zaozhuang,CN,34.8647,117.5542,68.14,67,0,4.81,clear sky
225,Taybad,IR,34.74,60.7756,72.07,29,100,11.41,overcast clouds
